Id,GeneId,Name,Pseudo
1,""ENSG00000129824"",""RPS4Y1"",false
2,""ENSG00000215603"",""ZNF92P1Y"",false
3,""ENSG00000215603"",""ZNF92P1Y"",false
4,""ENSG00000238073"",""RBMY2HP"",false
5,""ENSG00000223422"",""AC007274.2"",false
6,""ENSG00000092377"",""TBL1Y"",false
7,""ENSG00000223422"",""AC007274.2"",false
8,""ENSG00000092377"",""TBL1Y"",false
9,""ENSG00000092377"",""TBL1Y"",false
10,""ENSG00000223422"",""AC007274.2"",false
11,""ENSG00000236435"",""TSPY12P"",false
12,""ENSG00000236435"",""TSPY12P"",false
13,""ENSG00000236435"",""TSPY12P"",false
14,""ENSG00000236435"",""TSPY12P"",false
15,""ENSG00000236690"",""AC007274.5"",false
16,""ENSG00000236690"",""AC007274.5"",false
17,""ENSG00000225520"",""TTTY16"",false
18,""ENSG00000099725"",""PRKY"",false
19,""ENSG00000092377"",""TBL1Y"",false
20,""ENSG00000223600"",""EEF1A1P41"",false
21,""ENSG00000092377"",""TBL1Y"",false
22,""ENSG00000232583"",""GPR143P"",false
23,""ENSG00000231535"",""LINC00278"",false
24,""ENSG00000092377"",""TBL1Y"",false
25,""ENSG00000099721"",""AMELY"",false
26,""ENSG00000229745"",""BPY2DP"",false
27,""ENSG00000099725"",""PRKY"",false
28,""ENSG00000099725"",""PRKY"",false
29,""ENSG00000099725"",""PRKY"",false
30,""ENSG00000237048"",""TTTY12"",false
31,""ENSG00000099725"",""PRKY"",false
32,""ENSG00000237048"",""TTTY12"",false
33,""ENSG00000241200"",""ZNF736P7Y"",false
34,""ENSG00000229745"",""BPY2DP"",false
35,""ENSG00000227204"",""RBMY2JP"",false
37,ENSG00000233070,ZFY-AS1,false
36,ENSG00000067646,ZFY,false
38,""ENSG00000129824"",""RPS4Y1"",false
40,ENSG00000252633,RN7SKP282,false
39,ENSG00000099725,PRKY,false
41,""ENSG00000234795"",""RFTN1P1"",false
42,""ENSG00000234795"",""RFTN1P1"",false
43,""ENSG00000234795"",""RFTN1P1"",false
44,""ENSG00000234795"",""RFTN1P1"",false
45,""ENSG00000129824"",""RPS4Y1"",false
46,""ENSG00000099725"",""PRKY"",false
47,""ENSG00000099725"",""PRKY"",false
48,""ENSG00000099725"",""PRKY"",false
49,""ENSG00000099725"",""PRKY"",false
50,""ENSG00000099725"",""PRKY"",false
51,""ENSG00000099725"",""PRKY"",false
54,ENSG00000251841,RNU6-1334P,false
53,ENSG00000237659,RNASEH2CP1,false
52,ENSG00000184895,SRY,false
55,""ENSG00000099725"",""PRKY"",false
56,ENSG00000099725,PRKY,false
57,ENSG00000252155,RNU6-941P,false
60,ENSG00000251841,RNU6-1334P,false
59,ENSG00000237659,RNASEH2CP1,false
58,ENSG00000184895,SRY,false
61,""ENSG00000099725"",""PRKY"",false
62,""ENSG00000099725"",""PRKY"",false
63,""ENSG00000239893"",""ZNF736P9Y"",false
64,""ENSG00000099725"",""PRKY"",false
65,""ENSG00000099725"",""PRKY"",false
66,""ENSG00000099725"",""PRKY"",false
67,""ENSG00000237659"",""RNASEH2CP1"",false
68,""ENSG00000099725"",""PRKY"",false
69,""ENSG00000232195"",""TOMM22P2"",false
70,""ENSG00000232195"",""TOMM22P2"",false
71,""ENSG00000227289"",""HSFY3P"",false
72,ENSG00000129824,RPS4Y1,false
1,""ENSG00000099725"",""PRKY"",false
2,""ENSG00000099725"",""PRKY"",false
3,""ENSG00000099725"",""PRKY"",false
4,""ENSG00000099725"",""PRKY"",false
5,""ENSG00000215603"",""ZNF92P1Y"",false
6,""ENSG00000215603"",""ZNF92P1Y"",false
7,""ENSG00000238073"",""RBMY2HP"",false
8,""ENSG00000232583"",""GPR143P"",false
9,""ENSG00000223422"",""AC007274.2"",false
10,""ENSG00000092377"",""TBL1Y"",false
11,""ENSG00000223422"",""AC007274.2"",false
12,""ENSG00000092377"",""TBL1Y"",false
13,""ENSG00000092377"",""TBL1Y"",false
14,""ENSG00000223422"",""AC007274.2"",false
15,""ENSG00000236435"",""TSPY12P"",false
16,""ENSG00000236435"",""TSPY12P"",false
17,""ENSG00000236435"",""TSPY12P"",false
18,""ENSG00000236435"",""TSPY12P"",false
19,""ENSG00000236690"",""AC007274.5"",false
20,""ENSG00000092377"",""TBL1Y"",false
21,""ENSG00000236690"",""AC007274.5"",false
22,""ENSG00000092377"",""TBL1Y"",false
23,""ENSG00000225520"",""TTTY16"",false
24,""ENSG00000092377"",""TBL1Y"",false
25,""ENSG00000099725"",""PRKY"",false
26,""ENSG00000129824"",""RPS4Y1"",false
27,""ENSG00000234795"",""RFTN1P1"",false
28,""ENSG00000099725"",""PRKY"",false
29,""ENSG00000099725"",""PRKY"",false
30,""ENSG00000099725"",""PRKY"",false
31,""ENSG00000099725"",""PRKY"",false
32,""ENSG00000099725"",""PRKY"",false
33,""ENSG00000099725"",""PRKY"",false
34,""ENSG00000234795"",""RFTN1P1"",false
35,""ENSG00000099725"",""PRKY"",false
36,""ENSG00000229745"",""BPY2DP"",false
37,ENSG00000099725,PRKY,false
38,ENSG00000252155,RNU6-941P,false
39,""ENSG00000099725"",""PRKY"",false
40,""ENSG00000099725"",""PRKY"",false
41,""ENSG00000099725"",""PRKY"",false
42,""ENSG00000237048"",""TTTY12"",false
43,""ENSG00000099725"",""PRKY"",false
44,""ENSG00000237048"",""TTTY12"",false
45,""ENSG00000099725"",""PRKY"",false
46,""ENSG00000099725"",""PRKY"",false
48,ENSG00000252633,RN7SKP282,false
47,ENSG00000099725,PRKY,false
49,""ENSG00000241200"",""ZNF736P7Y"",false
50,""ENSG00000229745"",""BPY2DP"",false
51,""ENSG00000239893"",""ZNF736P9Y"",false
52,""ENSG00000223600"",""EEF1A1P41"",false
53,""ENSG00000129824"",""RPS4Y1"",false
54,""ENSG00000234795"",""RFTN1P1"",false
55,""ENSG00000234795"",""RFTN1P1"",false
56,""ENSG00000227204"",""RBMY2JP"",false
57,""ENSG00000231535"",""LINC00278"",false
60,ENSG00000251841,RNU6-1334P,false
59,ENSG00000237659,RNASEH2CP1,false
58,ENSG00000184895,SRY,false
61,""ENSG00000099721"",""AMELY"",false
64,ENSG00000251841,RNU6-1334P,false
63,ENSG00000237659,RNASEH2CP1,false
62,ENSG00000184895,SRY,false
65,""ENSG00000237659"",""RNASEH2CP1"",false
66,""ENSG00000129824"",""RPS4Y1"",false
67,""ENSG00000232195"",""TOMM22P2"",false
68,""ENSG00000232195"",""TOMM22P2"",false
69,""ENSG00000227289"",""HSFY3P"",false
71,ENSG00000233070,ZFY-AS1,false
70,ENSG00000067646,ZFY,false
72,ENSG00000129824,RPS4Y1,false
